,nominal time,day/night,npixels with POH > 90%
0,2020-04-20 14:00:00,day,1.0
1,2020-04-24 09:25:00,day,2.0
2,2020-04-24 09:30:00,day,1.0
3,2020-04-24 09:35:00,day,10.0
4,2020-04-24 09:40:00,day,3.0
5,2020-04-24 09:45:00,day,5.0
6,2020-04-24 09:55:00,day,4.0
7,2020-04-24 10:20:00,day,1.0
8,2020-04-24 10:55:00,day,1.0
9,2020-04-24 11:05:00,day,2.0
10,2020-04-24 11:15:00,day,2.0
11,2020-04-25 15:40:00,day,2.0
12,2020-04-25 15:45:00,day,1.0
13,2020-04-25 16:30:00,day,2.0
14,2020-05-05 15:30:00,day,1.0
15,2020-05-05 16:00:00,day,2.0
16,2020-05-05 16:05:00,day,1.0
17,2020-05-05 16:40:00,day,1.0
18,2020-05-05 16:45:00,day,10.0
19,2020-05-05 16:50:00,day,11.0
20,2020-05-05 16:55:00,day,1.0
21,2020-05-05 17:30:00,transition,1.0
22,2020-05-05 17:35:00,transition,14.0
23,2020-05-05 17:40:00,transition,2.0
24,2020-05-09 14:35:00,day,6.0
25,2020-05-09 14:40:00,day,10.0
26,2020-05-09 14:45:00,day,2.0
27,2020-05-09 14:50:00,day,1.0
28,2020-05-09 15:05:00,day,1.0
29,2020-05-09 17:40:00,transition,6.0
30,2020-05-09 17:45:00,transition,15.0
31,2020-05-09 17:50:00,transition,1.0
32,2020-05-09 18:05:00,transition,3.0
33,2020-05-09 18:10:00,transition,14.0
34,2020-05-09 18:15:00,transition,1.0
35,2020-05-09 18:30:00,transition,2.0
36,2020-05-09 20:05:00,night,5.0
37,2020-05-09 20:10:00,night,11.0
38,2020-05-09 20:15:00,night,7.0
39,2020-05-09 20:20:00,night,1.0
40,2020-05-09 20:35:00,night,5.0
41,2020-05-09 20:40:00,night,8.0
42,2020-05-09 20:45:00,night,8.0
43,2020-05-10 14:45:00,day,4.0
44,2020-05-10 14:55:00,day,2.0
45,2020-05-10 15:00:00,day,6.0
46,2020-05-10 15:10:00,day,3.0
