,nominal time,day/night,npixels with POH > 90%
0,2018-04-04 11:10:00,day,1.0
1,2018-04-04 11:20:00,day,1.0
2,2018-04-04 11:25:00,day,15.0
3,2018-04-04 11:45:00,day,1.0
4,2018-04-04 12:10:00,day,1.0
5,2018-04-04 17:30:00,transition,2.0
6,2018-04-04 17:35:00,transition,24.0
7,2018-04-04 17:40:00,transition,5.0
8,2018-04-04 17:50:00,transition,14.0
9,2018-04-04 17:55:00,transition,20.0
10,2018-04-04 18:00:00,transition,9.0
11,2018-04-04 18:05:00,transition,60.0
12,2018-04-04 18:10:00,transition,64.0
13,2018-04-04 18:15:00,night,53.0
14,2018-04-04 18:20:00,night,30.0
15,2018-04-04 18:25:00,night,3.0
16,2018-04-12 15:40:00,day,1.0
17,2018-04-12 15:50:00,day,5.0
18,2018-04-13 14:20:00,day,1.0
19,2018-04-23 14:25:00,day,1.0
20,2018-04-23 14:30:00,day,1.0
21,2018-04-23 15:30:00,day,1.0
22,2018-04-28 23:40:00,night,2.0
23,2018-04-29 14:20:00,day,9.0
24,2018-04-29 14:25:00,day,5.0
25,2018-04-29 14:30:00,day,39.0
26,2018-04-29 14:35:00,day,15.0
27,2018-04-29 14:40:00,day,14.0
28,2018-04-29 15:00:00,day,5.0
29,2018-04-29 15:05:00,day,1.0
30,2018-04-29 15:45:00,day,9.0
31,2018-04-29 15:50:00,day,14.0
32,2018-04-29 16:00:00,day,2.0
33,2018-04-29 16:10:00,day,2.0
34,2018-04-29 16:15:00,day,3.0
35,2018-04-29 16:25:00,day,25.0
36,2018-04-29 16:30:00,day,30.0
37,2018-04-29 16:35:00,day,23.0
38,2018-04-29 16:40:00,day,13.0
39,2018-04-29 16:45:00,day,26.0
40,2018-04-29 16:50:00,day,29.0
41,2018-04-29 16:55:00,day,21.0
42,2018-04-29 17:00:00,day,41.0
43,2018-04-29 17:05:00,day,36.0
44,2018-04-29 17:10:00,day,31.0
45,2018-04-29 17:15:00,day,72.0
46,2018-04-29 17:20:00,transition,97.0
47,2018-04-29 17:25:00,transition,127.0
48,2018-04-29 17:30:00,transition,87.0
49,2018-04-29 17:35:00,transition,65.0
50,2018-04-29 17:40:00,transition,79.0
51,2018-04-29 17:45:00,transition,55.0
52,2018-04-29 17:50:00,transition,45.0
53,2018-04-29 17:55:00,transition,46.0
54,2018-04-29 18:00:00,transition,37.0
55,2018-04-29 18:05:00,transition,24.0
56,2018-04-29 18:10:00,transition,18.0
57,2018-04-29 18:15:00,transition,30.0
58,2018-04-29 18:20:00,transition,30.0
59,2018-04-29 18:25:00,transition,32.0
60,2018-04-29 18:30:00,transition,26.0
61,2018-04-29 18:35:00,transition,9.0
62,2018-04-29 19:05:00,night,3.0
63,2018-04-29 19:10:00,night,11.0
64,2018-04-29 19:15:00,night,51.0
65,2018-04-29 19:20:00,night,72.0
66,2018-04-29 19:25:00,night,61.0
67,2018-04-29 19:30:00,night,19.0
68,2018-05-06 14:25:00,day,1.0
69,2018-05-06 14:30:00,day,5.0
70,2018-05-06 14:45:00,day,1.0
71,2018-05-06 14:55:00,day,1.0
72,2018-05-06 15:05:00,day,2.0
73,2018-05-06 15:10:00,day,6.0
74,2018-05-06 15:15:00,day,26.0
75,2018-05-06 15:20:00,day,39.0
76,2018-05-06 15:25:00,day,58.0
77,2018-05-06 15:30:00,day,91.0
78,2018-05-06 15:35:00,day,100.0
79,2018-05-06 15:40:00,day,88.0
80,2018-05-06 15:45:00,day,56.0
81,2018-05-06 15:50:00,day,57.0
82,2018-05-06 15:55:00,day,101.0
83,2018-05-06 16:00:00,day,86.0
84,2018-05-06 16:05:00,day,29.0
85,2018-05-06 16:10:00,day,24.0
86,2018-05-06 16:15:00,day,66.0
87,2018-05-06 16:20:00,day,63.0
88,2018-05-06 16:25:00,day,70.0
89,2018-05-06 16:30:00,day,58.0
90,2018-05-06 16:35:00,day,63.0
91,2018-05-06 16:40:00,day,97.0
92,2018-05-06 16:45:00,day,127.0
93,2018-05-06 16:50:00,day,115.0
94,2018-05-06 16:55:00,day,118.0
95,2018-05-06 17:00:00,day,159.0
96,2018-05-06 17:05:00,day,161.0
97,2018-05-06 17:10:00,day,140.0
98,2018-05-06 17:15:00,day,123.0
99,2018-05-06 17:20:00,day,189.0
100,2018-05-06 17:25:00,transition,189.0
101,2018-05-06 17:30:00,transition,181.0
102,2018-05-06 17:35:00,transition,190.0
103,2018-05-06 17:40:00,transition,214.0
104,2018-05-06 17:45:00,transition,182.0
105,2018-05-06 17:50:00,transition,168.0
106,2018-05-06 17:55:00,transition,133.0
107,2018-05-06 18:00:00,transition,100.0
108,2018-05-06 18:05:00,transition,102.0
109,2018-05-06 18:10:00,transition,71.0
110,2018-05-06 18:15:00,transition,75.0
111,2018-05-06 18:20:00,transition,127.0
112,2018-05-06 18:25:00,transition,161.0
113,2018-05-06 18:30:00,transition,189.0
114,2018-05-06 18:35:00,transition,177.0
115,2018-05-06 18:40:00,transition,187.0
116,2018-05-06 18:45:00,transition,161.0
117,2018-05-06 18:50:00,transition,139.0
118,2018-05-06 18:55:00,transition,112.0
119,2018-05-06 19:00:00,night,99.0
120,2018-05-06 19:05:00,night,86.0
121,2018-05-06 19:10:00,night,125.0
122,2018-05-06 19:15:00,night,148.0
123,2018-05-06 19:20:00,night,138.0
124,2018-05-06 19:25:00,night,104.0
125,2018-05-06 19:30:00,night,107.0
126,2018-05-06 19:35:00,night,110.0
127,2018-05-06 19:40:00,night,113.0
128,2018-05-06 19:45:00,night,119.0
129,2018-05-06 19:50:00,night,112.0
130,2018-05-06 19:55:00,night,73.0
131,2018-05-06 20:00:00,night,67.0
132,2018-05-06 20:05:00,night,62.0
133,2018-05-06 20:10:00,night,48.0
134,2018-05-06 20:15:00,night,21.0
135,2018-05-06 20:25:00,night,15.0
136,2018-05-06 20:30:00,night,20.0
137,2018-05-06 20:35:00,night,16.0
138,2018-05-06 20:40:00,night,3.0
139,2018-05-06 23:25:00,night,21.0
140,2018-05-06 23:30:00,night,19.0
141,2018-05-06 23:35:00,night,40.0
142,2018-05-06 23:40:00,night,38.0
143,2018-05-06 23:45:00,night,54.0
144,2018-05-06 23:50:00,night,2.0
145,2018-05-06 23:55:00,night,3.0
146,2018-05-07 00:05:00,night,4.0
147,2018-05-07 00:20:00,night,2.0
148,2018-05-07 00:25:00,night,2.0
149,2018-05-07 00:35:00,night,2.0
150,2018-05-07 11:25:00,day,1.0
151,2018-05-07 11:45:00,day,8.0
152,2018-05-07 11:50:00,day,37.0
153,2018-05-07 11:55:00,day,16.0
154,2018-05-07 12:00:00,day,8.0
155,2018-05-07 12:05:00,day,10.0
156,2018-05-07 12:10:00,day,4.0
157,2018-05-07 12:15:00,day,28.0
158,2018-05-07 12:20:00,day,45.0
159,2018-05-07 12:25:00,day,36.0
160,2018-05-07 12:30:00,day,41.0
161,2018-05-07 12:35:00,day,61.0
